name,symbol,website_slug,circulating_supply,last_updated,max_supply,quotes,rank,total_supply
Kurrent,KURT,kurrent,61364813.0,1530473107.0,228000000.0,"{'USD': {'price': 0.00328093, 'volume_24h': 18.9284, 'market_cap': 201334.0, 'percent_change_1h': -0.31, 'percent_change_24h': 1.56, 'percent_change_7d': 20.9}}",1174.0,72764813.0
Creatio,XCRE,creatio,20520514.0,1530473108.0,,"{'USD': {'price': 0.0011988, 'volume_24h': 1.19874, 'market_cap': 24600.0, 'percent_change_1h': -0.31, 'percent_change_24h': -0.1, 'percent_change_7d': 9.17}}",1314.0,20520514.0
TrustNote,TTT,trustnote,,,,,,
Bitcoin Interest,BCI,bitcoin-interest,,,,,,
Rawcoin,XRC,rawcoin2,704882.0,1530473112.0,,"{'USD': {'price': 0.0104737, 'volume_24h': 39.6731, 'market_cap': 7383.0, 'percent_change_1h': -0.31, 'percent_change_24h': 18.96, 'percent_change_7d': 3.41}}",1335.0,704882.0
Pascal Coin,PASC,pascal-coin,21939100.0,1530473112.0,,"{'USD': {'price': 0.453399, 'volume_24h': 62421.5, 'market_cap': 9947166.0, 'percent_change_1h': -0.1, 'percent_change_24h': -0.24, 'percent_change_7d': 4.13}}",408.0,21939100.0
Eternity,ENT,eternity,4351123.0,1530473109.0,,"{'USD': {'price': 0.0295915, 'volume_24h': 64.9272, 'market_cap': 128756.0, 'percent_change_1h': -0.31, 'percent_change_24h': 31.23, 'percent_change_7d': 28.86}}",1217.0,4351123.0
Incent,INCNT,incent,46016602.0,1530473112.0,,"{'USD': {'price': 0.136346, 'volume_24h': 2091.55, 'market_cap': 6274180.0, 'percent_change_1h': -0.12, 'percent_change_24h': -17.31, 'percent_change_7d': -3.4}}",501.0,46016625.0
FLIP,FLP,flip,,,,,,
Crowd Machine,CMCT,crowd-machine,,,,,,
DECENT,DCT,decent,51306089.0,1530473112.0,,"{'USD': {'price': 0.341393, 'volume_24h': 262471.0, 'market_cap': 17515540.0, 'percent_change_1h': -1.22, 'percent_change_24h': -2.26, 'percent_change_7d': 6.4}}",306.0,73197775.0
Live Stars,LIVE,live-stars,,,,,,
Golos,GOLOS,golos,124518891.0,1530473112.0,,"{'USD': {'price': 0.0347157, 'volume_24h': 3120.72, 'market_cap': 4322760.0, 'percent_change_1h': -2.37, 'percent_change_24h': -1.78, 'percent_change_7d': -7.79}}",582.0,124518891.0
Nexium,NXC,nexium,66520614.0,1530473107.0,,"{'USD': {'price': 0.0771081, 'volume_24h': 5217.74, 'market_cap': 5129278.0, 'percent_change_1h': -0.86, 'percent_change_24h': -3.65, 'percent_change_7d': -2.53}}",543.0,66520614.0
KEY,KEY,key,,,,,,
vSlice,VSL,vslice,33390496.0,1530473108.0,,"{'USD': {'price': 0.0621484, 'volume_24h': 65.8086, 'market_cap': 2075166.0, 'percent_change_1h': -0.31, 'percent_change_24h': -6.38, 'percent_change_7d': 0.72}}",1034.0,33390496.0
ConnectJob,CJT,connectjob,,,,,,
Dollar Online,DOLLAR,dollar-online,753776.0,1530473108.0,,"{'USD': {'price': 0.0140071, 'volume_24h': 545.747, 'market_cap': 10558.0, 'percent_change_1h': -0.31, 'percent_change_24h': -10.83, 'percent_change_7d': 12.0}}",991.0,9601412.0
Vault Coin,VLTC,vault-coin,30385540.0,1530473109.0,1000000000.0,"{'USD': {'price': 0.00012619, 'volume_24h': 764.757, 'market_cap': 3834.0, 'percent_change_1h': 19.64, 'percent_change_24h': 79.31, 'percent_change_7d': 101.17}}",994.0,530385540.0
Pabyosi Coin (Special),PCS,pabyosi-coin-special,,1530425655.0,,"{'USD': {'price': 0.0511453, 'volume_24h': None, 'market_cap': None, 'percent_change_1h': None, 'percent_change_24h': 0.93, 'percent_change_7d': None}}",1580.0,30993751760.0
Parkgene,GENE,parkgene,,,,,,
T-coin,TCOIN,t-coin,,1530473111.0,,"{'USD': {'price': 6.30948e-05, 'volume_24h': 20.3875, 'market_cap': None, 'percent_change_1h': -0.31, 'percent_change_24h': -50.2, 'percent_change_7d': -30.32}}",1538.0,
AC3,AC3,ac3,,,,,,
FuzeX,FXT,fuzex,,,,,,
